date,close
5/15/2019,2850.96
5/16/2019,2876.32
5/17/2019,2859.53
5/20/2019,2840.23
5/21/2019,2864.36
5/22/2019,2856.27
5/23/2019,2822.24
5/24/2019,2826.06
5/28/2019,2802.39
5/29/2019,2783.02
5/30/2019,2788.86
5/31/2019,2752.06
6/3/2019,2744.45
6/4/2019,2803.27
6/5/2019,2826.15
6/6/2019,2843.49
6/7/2019,2873.34
6/10/2019,2886.73
6/11/2019,2885.72
6/12/2019,2879.84
6/13/2019,2891.64
6/14/2019,2886.98
6/17/2019,2889.67
6/18/2019,2917.75
6/19/2019,2926.46
6/20/2019,2954.18
6/21/2019,2950.46
6/24/2019,2945.35
6/25/2019,2917.38
6/26/2019,2913.78
6/27/2019,2924.92
6/28/2019,2941.76
7/1/2019,2964.33
7/2/2019,2973.01
7/3/2019,2995.82
7/5/2019,2990.41
7/8/2019,2975.95
7/9/2019,2979.63
7/10/2019,2993.07
7/11/2019,2999.91
7/12/2019,3013.77
7/15/2019,3014.3
7/16/2019,3004.04
7/17/2019,2984.42
7/18/2019,2995.11
7/19/2019,2976.61
7/22/2019,2985.03
7/23/2019,3005.47
7/24/2019,3019.56
7/25/2019,3003.67
7/26/2019,3025.86
7/29/2019,3020.97
7/30/2019,3013.18
7/31/2019,2980.38
8/1/2019,2953.56
8/2/2019,2932.05
8/5/2019,2844.74
8/6/2019,2881.77
8/7/2019,2883.98
8/8/2019,2938.09
8/9/2019,2918.65
8/12/2019,2883.09
8/13/2019,2926.32
8/14/2019,2840.6
8/15/2019,2847.6
8/16/2019,2888.68
8/19/2019,2923.65
8/20/2019,2900.51
8/21/2019,2924.43
8/22/2019,2922.95
8/23/2019,2847.11
8/26/2019,2878.38
8/27/2019,2869.16
8/28/2019,2887.94
8/29/2019,2924.58
8/30/2019,2926.46
9/3/2019,2906.27
9/4/2019,2937.78
9/5/2019,2976
9/6/2019,2978.71
9/9/2019,2978.43
9/10/2019,2979.39
9/11/2019,3000.93
9/12/2019,3009.57
9/13/2019,3007.39
9/16/2019,2997.96
9/17/2019,3005.7
9/18/2019,3006.73
9/19/2019,3006.79
9/20/2019,2992.07
9/23/2019,2991.78
9/24/2019,2966.6
9/25/2019,2984.87
9/26/2019,2977.62
9/27/2019,2961.79
9/30/2019,2976.74
10/1/2019,2940.25
10/2/2019,2887.61
10/3/2019,2910.63
10/4/2019,2952.01
10/7/2019,2938.79
10/8/2019,2893.06
10/9/2019,2919.4
10/10/2019,2938.13
10/11/2019,2970.27
10/14/2019,2966.15
10/15/2019,2995.68
10/16/2019,2989.69
10/17/2019,2997.95
10/18/2019,2986.2
10/21/2019,3006.72
10/22/2019,2995.99
10/23/2019,3004.52
10/24/2019,3010.29
10/25/2019,3022.55
10/28/2019,3039.42
10/29/2019,3036.89
10/30/2019,3046.77
10/31/2019,3037.56
11/1/2019,3066.91
11/4/2019,3078.27
11/5/2019,3074.62
11/6/2019,3076.78
11/7/2019,3085.18
11/8/2019,3093.08
11/11/2019,3087.01
11/12/2019,3091.84
11/13/2019,3094.04
11/14/2019,3096.63
11/15/2019,3120.46
11/18/2019,3122.03
11/19/2019,3120.18
11/20/2019,3108.46
11/21/2019,3103.54
11/22/2019,3110.29
11/25/2019,3133.64
11/26/2019,3140.52
11/27/2019,3153.63
11/29/2019,3140.98
12/2/2019,3113.87
12/3/2019,3093.2
12/4/2019,3112.76
12/5/2019,3117.43
12/6/2019,3145.91
12/9/2019,3135.96
12/10/2019,3132.52
12/11/2019,3141.63
12/12/2019,3168.57
12/13/2019,3168.8
12/16/2019,3191.45
12/17/2019,3192.52
12/18/2019,3191.14
12/19/2019,3205.37
12/20/2019,3221.22
12/23/2019,3224.01
12/24/2019,3223.38
12/26/2019,3239.91
12/27/2019,3240.02
12/30/2019,3221.29
12/31/2019,3230.78
